gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction,age_group,experience_level,hourly_rate_log
Female,52.0,Italy,Italian,Blockchain Development,11.0,100.0,2.6,0,79.0,51-60,Senior,4.61512051684126
Female,52.0,Australia,English,Mobile Apps,34.0,100.0,3.3,1,84.0,51-60,Expert,4.61512051684126
Male,53.0,Germany,German,Graphic Design,31.0,50.0,0.0,0,71.0,51-60,Expert,3.9318256327243257
Female,38.0,Australia,English,Web Development,4.0,40.0,1.5,0,90.0,31-40,Mid,3.713572066704308
Female,53.0,Germany,German,Web Development,27.0,30.0,4.8,0,83.0,51-60,Expert,3.4339872044851463
Female,59.0,Netherlands,Dutch,Ai,14.0,30.0,2.4,0,79.0,51-60,Senior,3.4339872044851463
Male,52.0,Indonesia,Indonesian,Data Analysis,10.0,75.0,3.1,0,94.0,51-60,Mid,4.330733340286331
Male,43.0,Italy,Italian,Blockchain Development,14.0,40.0,4.6,0,94.0,41-50,Senior,3.713572066704308
Male,26.0,United States,English,Blockchain Development,4.0,40.0,4.0,1,76.0,20-30,Mid,3.713572066704308
Male,52.0,Turkey,Turkish,Ai,22.0,50.0,2.6,1,79.0,51-60,Expert,3.9318256327243257
Male,40.0,United Kingdom,English,Data Analysis,17.0,40.0,3.6,1,77.0,31-40,Senior,3.713572066704308
Female,55.0,Argentina,Spanish,Ui/Ux Design,15.0,40.0,2.6,1,86.0,51-60,Senior,3.713572066704308
Female,57.0,United Kingdom,English,Cybersecurity,18.0,40.0,2.0,0,86.0,51-60,Senior,3.713572066704308
Male,38.0,Argentina,Spanish,Graphic Design,20.0,75.0,2.9,1,93.0,31-40,Senior,4.330733340286331
Male,50.0,Germany,German,Data Analysis,22.0,75.0,3.7,1,70.0,41-50,Expert,4.330733340286331
Male,42.0,Japan,Japanese,Data Analysis,0.0,30.0,1.2,0,69.0,41-50,Junior,3.4339872044851463
Female,39.0,Australia,English,Devops,13.0,30.0,2.5,0,60.0,31-40,Senior,3.4339872044851463
Male,56.0,India,Hindi,Blockchain Development,9.0,40.0,2.6,0,87.0,51-60,Mid,3.713572066704308
Male,56.0,United States,English,Ui/Ux Design,31.0,50.0,1.1,0,75.0,51-60,Expert,3.9318256327243257
Male,57.0,Italy,Italian,Web Development,3.0,100.0,1.8,1,68.0,51-60,Junior,4.61512051684126
Male,41.0,Indonesia,Indonesian,Ai,9.0,50.0,1.8,0,65.0,41-50,Mid,3.9318256327243257
Male,51.0,Japan,Japanese,Devops,9.0,40.0,2.4,0,69.0,51-60,Mid,3.713572066704308
Male,51.0,Brazil,Portuguese,Cybersecurity,21.0,30.0,4.7,0,79.0,51-60,Expert,3.4339872044851463
Female,51.0,South Korea,Korean,Machine Learning,15.0,50.0,1.3,1,100.0,51-60,Senior,3.9318256327243257
Female,54.0,Indonesia,Indonesian,Machine Learning,13.0,75.0,2.9,0,92.0,51-60,Senior,4.330733340286331
Female,22.0,South Korea,Korean,Devops,0.0,30.0,1.2,1,70.0,20-30,Junior,3.4339872044851463
Female,34.0,Japan,Japanese,Blockchain Development,8.0,20.0,0.0,1,89.0,31-40,Mid,3.044522437723423
Female,36.0,Russia,Russian,Graphic Design,11.0,40.0,1.8,1,86.0,31-40,Senior,3.713572066704308
Female,47.0,Canada,English,Ai,22.0,30.0,1.3,0,62.0,41-50,Expert,3.4339872044851463
Female,41.0,Netherlands,Dutch,Data Analysis,14.0,75.0,1.2,0,79.0,41-50,Senior,4.330733340286331
Male,22.0,Netherlands,Dutch,Devops,4.0,40.0,1.0,1,79.0,20-30,Mid,3.713572066704308
Male,38.0,France,French,Machine Learning,19.0,100.0,4.2,0,68.0,31-40,Senior,4.61512051684126
Male,46.0,Egypt,Arabic,Ai,9.0,20.0,1.4,1,76.0,41-50,Mid,3.044522437723423
Male,41.0,South Korea,Korean,Ai,9.0,40.0,2.4,1,82.0,41-50,Mid,3.713572066704308
Female,54.0,United States,English,Web Development,32.0,75.0,1.0,1,81.0,51-60,Expert,4.330733340286331
Female,52.0,South Korea,Korean,Web Development,28.0,20.0,2.6,0,79.0,51-60,Expert,3.044522437723423
Female,42.0,Japan,Japanese,Mobile Apps,6.0,40.0,2.6,0,63.0,41-50,Mid,3.713572066704308
Female,29.0,Netherlands,Dutch,Graphic Design,10.0,40.0,2.2,0,67.0,20-30,Mid,3.713572066704308
Female,42.0,South Africa,Afrikaans,Mobile Apps,23.0,50.0,3.2,1,79.0,41-50,Expert,3.9318256327243257
Male,60.0,Japan,Japanese,Web Development,13.0,20.0,3.6,0,80.0,51-60,Senior,3.044522437723423
Female,59.0,United Kingdom,English,Ai,3.0,50.0,0.0,0,79.0,51-60,Junior,3.9318256327243257
Female,21.0,Canada,English,Web Development,0.0,30.0,2.7,1,84.0,20-30,Junior,3.4339872044851463
Female,35.0,Germany,German,Devops,10.0,50.0,0.0,0,79.0,31-40,Mid,3.9318256327243257
Male,41.0,United Kingdom,English,Data Analysis,9.0,20.0,2.8,1,63.0,41-50,Mid,3.044522437723423
Female,51.0,Netherlands,Dutch,Machine Learning,23.0,20.0,2.5,0,80.0,51-60,Expert,3.044522437723423
Male,41.0,South Africa,Afrikaans,Web Development,9.0,75.0,4.9,1,74.0,41-50,Mid,4.330733340286331
Female,47.0,Egypt,Arabic,Devops,15.0,30.0,4.5,1,85.0,41-50,Senior,3.4339872044851463
Male,25.0,China,Mandarin,Graphic Design,4.0,50.0,2.7,0,77.0,20-30,Mid,3.9318256327243257
Female,25.0,Mexico,Spanish,Mobile Apps,7.0,20.0,1.9,0,79.0,20-30,Mid,3.044522437723423
Male,29.0,Netherlands,Dutch,Ui/Ux Design,1.0,20.0,1.4,1,63.0,20-30,Junior,3.044522437723423
Female,23.0,Argentina,Spanish,Cybersecurity,0.0,75.0,1.9,1,79.0,20-30,Junior,4.330733340286331
Male,31.0,France,French,Data Analysis,8.0,50.0,3.4,0,79.0,31-40,Mid,3.9318256327243257
Male,51.0,Germany,German,Machine Learning,33.0,75.0,3.3,0,68.0,51-60,Expert,4.330733340286331
Male,41.0,Spain,Spanish,Ui/Ux Design,1.0,30.0,0.0,0,68.0,41-50,Junior,3.4339872044851463
Female,29.0,Turkey,Turkish,Cybersecurity,11.0,100.0,2.3,1,72.0,20-30,Senior,4.61512051684126
Male,50.0,United Kingdom,English,Ai,15.0,40.0,2.0,1,65.0,41-50,Senior,3.713572066704308
Female,26.0,United Kingdom,English,Devops,8.0,50.0,1.3,0,76.0,20-30,Mid,3.9318256327243257
Male,38.0,Canada,English,Ai,17.0,40.0,4.0,1,90.0,31-40,Senior,3.713572066704308
Female,23.0,India,Hindi,Mobile Apps,9.0,75.0,3.6,1,65.0,20-30,Mid,4.330733340286331
Female,51.0,South Africa,Afrikaans,Devops,28.0,40.0,3.9,0,63.0,51-60,Expert,3.713572066704308
Female,51.0,Indonesia,Indonesian,Ai,33.0,75.0,0.0,1,79.0,51-60,Expert,4.330733340286331
Male,47.0,Germany,German,Ai,18.0,75.0,0.0,0,79.0,41-50,Senior,4.330733340286331
Female,34.0,Russia,Russian,Ui/Ux Design,16.0,20.0,2.3,1,93.0,31-40,Senior,3.044522437723423
Female,58.0,Indonesia,Indonesian,Data Analysis,35.0,50.0,4.7,0,70.0,51-60,Expert,3.9318256327243257
Female,50.0,Russia,Russian,Ai,14.0,40.0,3.5,1,83.0,41-50,Senior,3.713572066704308
Female,34.0,Spain,Spanish,Web Development,12.0,40.0,2.4,1,64.0,31-40,Senior,3.713572066704308
Female,45.0,Brazil,Portuguese,Ai,11.0,75.0,4.0,0,100.0,41-50,Senior,4.330733340286331
Female,55.0,Brazil,Portuguese,Web Development,0.0,40.0,0.0,1,79.0,51-60,Junior,3.713572066704308
Male,41.0,Argentina,Spanish,Ui/Ux Design,6.0,100.0,1.5,0,79.0,41-50,Mid,4.61512051684126
Female,60.0,China,Mandarin,Ui/Ux Design,38.0,20.0,2.0,0,71.0,51-60,Expert,3.044522437723423
Female,33.0,South Africa,Afrikaans,Mobile Apps,11.0,40.0,2.6,1,84.0,31-40,Senior,3.713572066704308
Male,60.0,Italy,Italian,Devops,13.0,50.0,1.0,0,79.0,51-60,Senior,3.9318256327243257
Male,40.0,United States,English,Web Development,9.0,100.0,4.5,1,69.0,31-40,Mid,4.61512051684126
Male,59.0,Australia,English,Blockchain Development,4.0,40.0,1.9,0,88.0,51-60,Mid,3.713572066704308
Male,36.0,Italy,Italian,Machine Learning,14.0,100.0,3.7,0,79.0,31-40,Senior,4.61512051684126
Male,32.0,India,Hindi,Data Analysis,9.0,30.0,1.9,1,96.0,31-40,Mid,3.4339872044851463
Male,59.0,Australia,English,Ai,9.0,75.0,4.0,1,96.0,51-60,Mid,4.330733340286331
Female,54.0,Spain,Spanish,Devops,32.0,40.0,1.8,0,79.0,51-60,Expert,3.713572066704308
Female,37.0,Canada,English,Graphic Design,9.0,40.0,0.0,1,89.0,31-40,Mid,3.713572066704308
Male,54.0,India,Hindi,Machine Learning,21.0,100.0,4.6,0,79.0,51-60,Expert,4.61512051684126
Female,33.0,Argentina,Spanish,Ui/Ux Design,12.0,100.0,3.6,0,63.0,31-40,Senior,4.61512051684126
Female,25.0,Egypt,Arabic,Web Development,7.0,40.0,4.4,0,81.0,20-30,Mid,3.713572066704308
Male,41.0,China,Mandarin,Devops,3.0,40.0,4.6,0,74.0,41-50,Junior,3.713572066704308
Male,35.0,South Korea,Korean,Web Development,5.0,75.0,3.2,0,72.0,31-40,Mid,4.330733340286331
Male,59.0,South Korea,Korean,Ai,30.0,40.0,0.0,1,79.0,51-60,Expert,3.713572066704308
Female,21.0,China,Mandarin,Devops,2.0,100.0,2.6,1,85.0,20-30,Junior,4.61512051684126
Male,25.0,United States,English,Mobile Apps,2.0,75.0,3.7,0,79.0,20-30,Junior,4.330733340286331
Female,38.0,Mexico,Spanish,Web Development,19.0,75.0,2.3,0,61.0,31-40,Senior,4.330733340286331
Male,57.0,Russia,Russian,Ai,16.0,100.0,3.1,0,79.0,51-60,Senior,4.61512051684126
Male,32.0,India,Hindi,Mobile Apps,10.0,20.0,2.4,0,86.0,31-40,Mid,3.044522437723423
Male,21.0,Italy,Italian,Devops,2.0,100.0,1.6,1,97.0,20-30,Junior,4.61512051684126
Female,57.0,Canada,English,Cybersecurity,18.0,50.0,2.4,1,63.0,51-60,Senior,3.9318256327243257
Male,53.0,China,Mandarin,Ui/Ux Design,21.0,100.0,2.6,1,97.0,51-60,Expert,4.61512051684126
Male,35.0,Russia,Russian,Blockchain Development,3.0,30.0,3.8,1,81.0,31-40,Junior,3.4339872044851463
Female,54.0,China,Mandarin,Machine Learning,17.0,20.0,1.7,0,69.0,51-60,Senior,3.044522437723423
Female,36.0,Italy,Italian,Ui/Ux Design,0.0,20.0,1.3,1,64.0,31-40,Junior,3.044522437723423
Female,49.0,Spain,Spanish,Cybersecurity,25.0,50.0,5.0,0,77.0,41-50,Expert,3.9318256327243257
Male,37.0,United States,English,Blockchain Development,17.0,20.0,3.3,0,96.0,31-40,Senior,3.044522437723423
Male,41.0,United States,English,Ui/Ux Design,5.0,20.0,1.1,0,74.0,41-50,Mid,3.044522437723423
Male,32.0,Egypt,Arabic,Ui/Ux Design,10.0,50.0,1.2,0,89.0,31-40,Mid,3.9318256327243257
Male,35.0,India,Hindi,Mobile Apps,0.0,40.0,2.0,1,64.0,31-40,Junior,3.713572066704308
Female,51.0,Russia,Russian,Graphic Design,2.0,30.0,4.5,0,64.0,51-60,Junior,3.4339872044851463
Female,50.0,Russia,Russian,Devops,30.0,100.0,3.0,1,73.0,41-50,Expert,4.61512051684126
Female,21.0,Turkey,Turkish,Blockchain Development,2.0,50.0,4.9,1,68.0,20-30,Junior,3.9318256327243257
Male,25.0,United States,English,Graphic Design,3.0,30.0,2.6,0,88.0,20-30,Junior,3.4339872044851463
Female,57.0,France,French,Devops,21.0,40.0,2.5,0,77.0,51-60,Expert,3.713572066704308
Male,58.0,Russia,Russian,Blockchain Development,3.0,40.0,0.0,1,79.0,51-60,Junior,3.713572066704308
Female,45.0,Indonesia,Indonesian,Mobile Apps,19.0,40.0,2.6,1,72.0,41-50,Senior,3.713572066704308
Female,23.0,United States,English,Web Development,0.0,20.0,4.7,1,60.0,20-30,Junior,3.044522437723423
Female,46.0,United States,English,Ai,9.0,30.0,3.5,0,72.0,41-50,Mid,3.4339872044851463
Male,27.0,Argentina,Spanish,Ui/Ux Design,5.0,30.0,2.6,0,92.0,20-30,Mid,3.4339872044851463
Female,32.0,United States,English,Machine Learning,6.0,50.0,3.4,1,79.0,31-40,Mid,3.9318256327243257
Female,48.0,Argentina,Spanish,Machine Learning,6.0,75.0,2.5,0,92.0,41-50,Mid,4.330733340286331
Male,30.0,Turkey,Turkish,Mobile Apps,3.0,30.0,1.1,1,79.0,20-30,Junior,3.4339872044851463
Male,59.0,Turkey,Turkish,Ai,13.0,20.0,4.8,0,79.0,51-60,Senior,3.044522437723423
Female,32.0,Mexico,Spanish,Ai,5.0,30.0,2.6,0,86.0,31-40,Mid,3.4339872044851463
Female,57.0,Egypt,Arabic,Ui/Ux Design,4.0,40.0,3.4,1,68.0,51-60,Mid,3.713572066704308
Male,27.0,Australia,English,Machine Learning,7.0,20.0,3.2,1,62.0,20-30,Mid,3.044522437723423
Female,33.0,Indonesia,Indonesian,Machine Learning,13.0,20.0,3.2,0,79.0,31-40,Senior,3.044522437723423
Male,29.0,South Korea,Korean,Data Analysis,4.0,30.0,0.0,1,82.0,20-30,Mid,3.4339872044851463
Female,36.0,Indonesia,Indonesian,Ui/Ux Design,13.0,75.0,2.6,1,79.0,31-40,Senior,4.330733340286331
Female,47.0,Italy,Italian,Devops,5.0,40.0,3.7,0,93.0,41-50,Mid,3.713572066704308
Male,48.0,Canada,English,Machine Learning,15.0,50.0,1.0,1,64.0,41-50,Senior,3.9318256327243257
Female,27.0,China,Mandarin,Ui/Ux Design,8.0,50.0,0.0,0,79.0,20-30,Mid,3.9318256327243257
Male,34.0,Australia,English,Web Development,10.0,40.0,1.7,0,96.0,31-40,Mid,3.713572066704308
Male,49.0,South Korea,Korean,Data Analysis,19.0,40.0,5.0,1,83.0,41-50,Senior,3.713572066704308
Male,30.0,Brazil,Portuguese,Mobile Apps,10.0,100.0,1.7,1,64.0,20-30,Mid,4.61512051684126
Male,31.0,Egypt,Arabic,Graphic Design,8.0,40.0,4.4,0,70.0,31-40,Mid,3.713572066704308
Male,58.0,China,Mandarin,Machine Learning,9.0,20.0,0.0,0,65.0,51-60,Mid,3.044522437723423
Male,47.0,France,French,Machine Learning,13.0,40.0,3.4,0,67.0,41-50,Senior,3.713572066704308
Female,45.0,United Kingdom,English,Cybersecurity,14.0,100.0,1.1,0,93.0,41-50,Senior,4.61512051684126
Female,57.0,France,French,Machine Learning,0.0,50.0,1.6,0,60.0,51-60,Junior,3.9318256327243257
Male,50.0,India,Hindi,Web Development,22.0,100.0,4.1,0,62.0,41-50,Expert,4.61512051684126
Female,41.0,Brazil,Portuguese,Machine Learning,4.0,40.0,2.5,0,70.0,41-50,Mid,3.713572066704308
Female,45.0,Indonesia,Indonesian,Blockchain Development,22.0,100.0,4.0,1,75.0,41-50,Expert,4.61512051684126
Male,60.0,South Africa,Afrikaans,Cybersecurity,39.0,75.0,1.4,0,70.0,51-60,Expert,4.330733340286331
Female,43.0,United Kingdom,English,Cybersecurity,5.0,50.0,2.6,1,84.0,41-50,Mid,3.9318256327243257
Female,39.0,France,French,Cybersecurity,5.0,40.0,1.2,0,83.0,31-40,Mid,3.713572066704308
Male,26.0,Mexico,Spanish,Ui/Ux Design,5.0,50.0,0.0,0,79.0,20-30,Mid,3.9318256327243257
Male,31.0,Germany,German,Cybersecurity,11.0,50.0,3.1,0,88.0,31-40,Senior,3.9318256327243257
Male,52.0,France,French,Ui/Ux Design,15.0,50.0,0.0,1,81.0,51-60,Senior,3.9318256327243257
Female,34.0,India,Hindi,Data Analysis,5.0,20.0,2.2,1,80.0,31-40,Mid,3.044522437723423
Male,45.0,United Kingdom,English,Web Development,7.0,75.0,3.0,1,67.0,41-50,Mid,4.330733340286331
Male,46.0,United Kingdom,English,Cybersecurity,9.0,20.0,0.0,0,82.0,41-50,Mid,3.044522437723423
Male,56.0,France,French,Ui/Ux Design,21.0,100.0,0.0,1,78.0,51-60,Expert,4.61512051684126
Female,59.0,Germany,German,Ai,7.0,40.0,1.4,0,81.0,51-60,Mid,3.713572066704308
Female,54.0,Egypt,Arabic,Blockchain Development,4.0,40.0,1.4,1,74.0,51-60,Mid,3.713572066704308
Male,36.0,Germany,German,Ui/Ux Design,7.0,30.0,0.0,0,88.0,31-40,Mid,3.4339872044851463
Male,25.0,Mexico,Spanish,Data Analysis,0.0,40.0,0.0,0,90.0,20-30,Junior,3.713572066704308
Female,37.0,Russia,Russian,Data Analysis,15.0,40.0,2.9,0,79.0,31-40,Senior,3.713572066704308
Male,41.0,Turkey,Turkish,Data Analysis,10.0,40.0,0.0,0,79.0,41-50,Mid,3.713572066704308
Male,29.0,Spain,Spanish,Data Analysis,11.0,20.0,2.7,0,93.0,20-30,Senior,3.044522437723423
Female,55.0,Argentina,Spanish,Mobile Apps,12.0,100.0,1.8,1,79.0,51-60,Senior,4.61512051684126
Female,38.0,Japan,Japanese,Devops,20.0,75.0,1.1,0,71.0,31-40,Senior,4.330733340286331
Male,47.0,South Korea,Korean,Devops,29.0,40.0,4.3,1,95.0,41-50,Expert,3.713572066704308
Male,60.0,Brazil,Portuguese,Web Development,15.0,100.0,1.5,0,80.0,51-60,Senior,4.61512051684126
Female,43.0,Italy,Italian,Data Analysis,9.0,20.0,2.2,0,79.0,41-50,Mid,3.044522437723423
Male,56.0,South Africa,Afrikaans,Data Analysis,9.0,100.0,3.2,0,62.0,51-60,Mid,4.61512051684126
Male,42.0,Russia,Russian,Devops,2.0,50.0,1.9,0,95.0,41-50,Junior,3.9318256327243257
Female,20.0,Spain,Spanish,Graphic Design,0.0,40.0,2.5,0,79.0,20-30,Junior,3.713572066704308
Female,47.0,Indonesia,Indonesian,Ui/Ux Design,12.0,40.0,4.5,0,62.0,41-50,Senior,3.713572066704308
Male,41.0,Argentina,Spanish,Data Analysis,12.0,30.0,4.1,0,68.0,41-50,Senior,3.4339872044851463
Male,56.0,Indonesia,Indonesian,Devops,15.0,75.0,0.0,0,79.0,51-60,Senior,4.330733340286331
Male,59.0,United Kingdom,English,Devops,29.0,75.0,2.6,0,80.0,51-60,Expert,4.330733340286331
Male,56.0,Japan,Japanese,Cybersecurity,15.0,40.0,3.7,0,92.0,51-60,Senior,3.713572066704308
Female,31.0,South Africa,Afrikaans,Web Development,9.0,75.0,1.3,1,65.0,31-40,Mid,4.330733340286331
Male,60.0,South Korea,Korean,Mobile Apps,33.0,40.0,3.6,1,87.0,51-60,Expert,3.713572066704308
Female,31.0,Canada,English,Web Development,10.0,75.0,0.0,0,70.0,31-40,Mid,4.330733340286331
Male,60.0,Argentina,Spanish,Cybersecurity,20.0,40.0,1.4,0,87.0,51-60,Senior,3.713572066704308
Male,46.0,France,French,Devops,23.0,20.0,2.9,0,72.0,41-50,Expert,3.044522437723423
Female,41.0,Netherlands,Dutch,Blockchain Development,9.0,40.0,2.8,0,80.0,41-50,Mid,3.713572066704308
Male,34.0,Japan,Japanese,Ui/Ux Design,0.0,20.0,1.7,0,66.0,31-40,Junior,3.044522437723423
Female,42.0,Netherlands,Dutch,Graphic Design,7.0,40.0,0.0,1,79.0,41-50,Mid,3.713572066704308
Male,31.0,United Kingdom,English,Data Analysis,4.0,75.0,1.1,1,64.0,31-40,Mid,4.330733340286331
Male,29.0,Brazil,Portuguese,Ui/Ux Design,9.0,20.0,2.6,0,68.0,20-30,Mid,3.044522437723423
Female,57.0,Australia,English,Graphic Design,17.0,20.0,3.6,0,63.0,51-60,Senior,3.044522437723423
Male,47.0,India,Hindi,Devops,8.0,20.0,4.5,1,72.0,41-50,Mid,3.044522437723423
Male,47.0,South Africa,Afrikaans,Ai,14.0,30.0,0.0,1,86.0,41-50,Senior,3.4339872044851463
Female,45.0,France,French,Graphic Design,21.0,30.0,1.5,1,73.0,41-50,Expert,3.4339872044851463
Male,24.0,Turkey,Turkish,Machine Learning,1.0,30.0,3.7,0,95.0,20-30,Junior,3.4339872044851463
Female,31.0,Argentina,Spanish,Mobile Apps,12.0,20.0,2.3,0,90.0,31-40,Senior,3.044522437723423
Female,20.0,Mexico,Spanish,Graphic Design,2.0,20.0,2.8,0,78.0,20-30,Junior,3.044522437723423
Male,38.0,Japan,Japanese,Web Development,3.0,30.0,3.5,0,97.0,31-40,Junior,3.4339872044851463
Female,33.0,Germany,German,Ui/Ux Design,11.0,40.0,0.0,1,65.0,31-40,Senior,3.713572066704308
Female,31.0,Australia,English,Web Development,4.0,40.0,3.2,1,78.0,31-40,Mid,3.713572066704308
Male,41.0,Spain,Spanish,Machine Learning,21.0,50.0,3.3,1,65.0,41-50,Expert,3.9318256327243257
Male,54.0,Turkey,Turkish,Web Development,0.0,20.0,4.9,0,79.0,51-60,Junior,3.044522437723423
Male,50.0,Mexico,Spanish,Data Analysis,6.0,30.0,2.2,1,95.0,41-50,Mid,3.4339872044851463
Male,48.0,Brazil,Portuguese,Machine Learning,18.0,40.0,2.6,1,88.0,41-50,Senior,3.713572066704308
Female,49.0,Mexico,Spanish,Graphic Design,9.0,40.0,1.8,0,79.0,41-50,Mid,3.713572066704308
Male,21.0,South Korea,Korean,Graphic Design,1.0,75.0,4.6,0,92.0,20-30,Junior,4.330733340286331
Male,58.0,Australia,English,Graphic Design,20.0,75.0,2.8,0,75.0,51-60,Senior,4.330733340286331
Male,41.0,Italy,Italian,Devops,9.0,30.0,1.4,0,74.0,41-50,Mid,3.4339872044851463
Female,58.0,Russia,Russian,Blockchain Development,25.0,30.0,4.2,1,71.0,51-60,Expert,3.4339872044851463
Female,50.0,South Africa,Afrikaans,Graphic Design,20.0,40.0,3.6,1,89.0,41-50,Senior,3.713572066704308
Male,52.0,Indonesia,Indonesian,Web Development,33.0,100.0,1.6,0,66.0,51-60,Expert,4.61512051684126
Male,34.0,Netherlands,Dutch,Data Analysis,6.0,100.0,2.0,0,79.0,31-40,Mid,4.61512051684126
Male,32.0,France,French,Machine Learning,11.0,40.0,4.3,1,86.0,31-40,Senior,3.713572066704308
Female,50.0,India,Hindi,Graphic Design,28.0,100.0,4.9,1,86.0,41-50,Expert,4.61512051684126
